epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,7845.28,0.86508,0.49499,1.09028,0.93618,0.92874,0.95239,0.62248,1.18915,0.52677,1.32841,0.0004754,0.0004754,0.0004754
156,7894.35,0.87027,0.48312,1.09349,0.9465,0.919,0.94825,0.62054,1.18496,0.52117,1.31711,0.0004655,0.0004655,0.0004655
157,7943.82,0.86558,0.48325,1.09102,0.94855,0.92857,0.95286,0.62445,1.18137,0.51075,1.32049,0.0004556,0.0004556,0.0004556
158,7993.89,0.86136,0.48325,1.08719,0.95363,0.92208,0.94901,0.62469,1.18383,0.5176,1.31665,0.0004457,0.0004457,0.0004457
159,8043.79,0.86425,0.48002,1.0911,0.94893,0.91721,0.94648,0.62255,1.18182,0.52725,1.31729,0.0004358,0.0004358,0.0004358
160,8092.71,0.86025,0.47474,1.08638,0.94794,0.92208,0.94711,0.61747,1.18567,0.52012,1.32519,0.0004259,0.0004259,0.0004259
161,8141.63,0.85425,0.47901,1.07986,0.94348,0.92131,0.94577,0.61835,1.19063,0.51744,1.34055,0.000416,0.000416,0.000416
162,8190.57,0.8425,0.46637,1.07902,0.94979,0.92122,0.94884,0.62539,1.18397,0.50679,1.33039,0.0004061,0.0004061,0.0004061
163,8239.72,0.84979,0.47589,1.0845,0.94128,0.92857,0.94581,0.62125,1.19132,0.51459,1.3357,0.0003962,0.0003962,0.0003962
164,8288.66,0.84298,0.47716,1.08561,0.94771,0.92532,0.95192,0.62312,1.18859,0.51539,1.33222,0.0003863,0.0003863,0.0003863
165,8337.52,0.84834,0.47025,1.09139,0.93899,0.93994,0.94893,0.62662,1.18293,0.50621,1.33784,0.0003764,0.0003764,0.0003764
166,8386.71,0.84008,0.47115,1.0783,0.94578,0.93449,0.95701,0.62639,1.18008,0.50927,1.31544,0.0003665,0.0003665,0.0003665
167,8435.9,0.83517,0.46948,1.07418,0.94671,0.92296,0.95043,0.62597,1.1801,0.50684,1.32339,0.0003566,0.0003566,0.0003566
168,8484.83,0.83158,0.4651,1.07329,0.95459,0.92145,0.9516,0.62433,1.18379,0.50583,1.33768,0.0003467,0.0003467,0.0003467
169,8533.76,0.83506,0.4624,1.07202,0.93806,0.93669,0.95544,0.62423,1.17647,0.50701,1.33206,0.0003368,0.0003368,0.0003368
170,8582.69,0.82463,0.4628,1.06476,0.92826,0.94528,0.95063,0.6223,1.17195,0.49918,1.32065,0.0003269,0.0003269,0.0003269
171,8631.61,0.83858,0.45442,1.07505,0.93401,0.942,0.95128,0.6212,1.17147,0.49892,1.31759,0.000317,0.000317,0.000317
172,8680.52,0.81931,0.44992,1.06707,0.92323,0.94968,0.95133,0.62422,1.16926,0.49479,1.3181,0.0003071,0.0003071,0.0003071
173,8729.43,0.82063,0.45554,1.06621,0.94136,0.93811,0.94908,0.62147,1.17425,0.50085,1.32849,0.0002972,0.0002972,0.0002972
174,8778.39,0.81383,0.44836,1.06742,0.94059,0.93831,0.9516,0.62272,1.16639,0.49544,1.32646,0.0002873,0.0002873,0.0002873
175,8827.34,0.81662,0.45707,1.06957,0.94242,0.92995,0.94948,0.62465,1.16446,0.49682,1.32217,0.0002774,0.0002774,0.0002774
176,8876.27,0.82067,0.46473,1.07056,0.93945,0.932,0.95124,0.62155,1.1712,0.49963,1.33089,0.0002675,0.0002675,0.0002675
177,8925.19,0.81696,0.4516,1.06579,0.94248,0.93099,0.9514,0.61989,1.16847,0.50011,1.33031,0.0002576,0.0002576,0.0002576
178,8974.12,0.80729,0.45154,1.06661,0.92516,0.94323,0.95348,0.62252,1.17338,0.49678,1.3312,0.0002477,0.0002477,0.0002477
179,9023.06,0.81018,0.44794,1.06806,0.94083,0.92917,0.95293,0.62271,1.17238,0.49916,1.33317,0.0002378,0.0002378,0.0002378
180,9071.97,0.80326,0.44222,1.06279,0.94639,0.92532,0.94829,0.61777,1.18724,0.50503,1.35263,0.0002279,0.0002279,0.0002279
